藝人中文名,維基條目網址,簡介,狀態
草東沒有派對,https://zh.wikipedia.org/wiki/%E8%8D%89%E6%9D%B1%E6%B2%92%E6%9C%89%E6%B4%BE%E5%B0%8D,"草東沒有派對 是一支臺灣的獨立搖滾樂團。現由巫堵（主唱和吉他）、筑筑（吉他）、鳥人（鼓手）及Dennis（貝斯）四人組成。2016年首張專輯《醜奴兒》和2023年第二張專輯《瓦合》皆獲得金曲獎最佳樂團獎，《瓦合》更奪下第35屆金曲獎年度專輯獎。
",已取得
大象體操,https://zh.wikipedia.org/wiki/%E5%A4%A7%E8%B1%A1%E9%AB%94%E6%93%8D,"大象體操 來自台灣高雄，2012年2月成立，以貝斯、鼓、吉他為主要編制的數學搖滾樂團。現任團員包含張凱婷（貝斯手）、涂嘉欽（鼓手）、張凱翔（吉他手）。官方定義團名中的「大象」象徵BASS，「體操」則表示曲中的特殊節奏，但團名起初是隨意拼湊的，沒有特別意義。
",已取得
蘇珮卿,,,無條目
楊乃文,https://zh.wikipedia.org/wiki/%E6%A5%8A%E4%B9%83%E6%96%87,"楊乃文（1974年3月2日—），臺灣女歌手。曾榮獲第11屆金曲獎最佳國語女演唱人獎。出道前擔任過模特兒，之後亦曾參與過舞台劇演出。
",已取得
滅火器,,,待確認
告五人,https://zh.wikipedia.org/wiki/%E5%91%8A%E4%BA%94%E4%BA%BA,"告五人，台灣樂團，其2011年成立於宜蘭縣，2017年改組為三人團體發行首張EP，目前團員為男主唱兼吉他手潘雲安、女主唱犬青及鼓手兼團長林哲謙。在2024年以〈又到天黑〉榮獲第35屆金曲獎年度歌曲獎。
",已取得
MC HotDog熱狗,,,無條目
張惠妹,https://zh.wikipedia.org/wiki/%E5%BC%B5%E6%83%A0%E5%A6%B9,"古歷來·阿密特，漢名張惠妹，暱稱阿妹，臺灣女歌手和音樂製作人，出身自臺東縣卑南鄉大巴六九部落（卑南族）。1992年參加《五燈獎》衛冕4度5關為人所知，1993年再度參賽成為5度5關的五燈之星。1996年以首張個人專輯《姊妹》正式出道，在華語流行樂壇有極崇高的影響力與地位，被視為「華語流行樂壇天后」，有「妹神」之尊稱。
",已取得
許鈞,https://zh.wikipedia.org/wiki/%E8%AE%B8%E9%92%A7,,待確認
傻子與白痴,,,待確認
裘德,https://zh.wikipedia.org/wiki/%E8%A3%98%E5%BE%B7,"裘德（1994年8月9日—），本名趙熙南，中國男歌手、音樂製作人，貴州貴陽人，現居北京，就讀高中時開始寫歌，大學畢業後前往北京製作音樂，成為網易簽約的獨立音樂人，曲風融合爵士、R&B、音樂劇色彩。2019年發行專輯《頒獎的時候我要缺席》，2020年憑此專輯入圍台灣第31屆金曲獎最佳國語男歌手獎。2021年1月，獲得第二屆「劉歡原創音樂專項公益金」資助，同年12月發行專輯《最後的水族館》，並於2022年第33屆金曲獎再次入圍最佳華語男歌手獎。2024年第35屆金曲獎憑藉同名專輯《裘德》第三度入圍最佳華語男歌手，專輯共入圍年度專輯、最佳華語專輯等六項大獎。2026年第37屆金曲獎以《離開銀色荒原》第四度入圍最佳華語男歌手，專輯共入圍年度專輯、最佳華語專輯、最佳專輯製作人等七項大獎。目前是中國大陸金曲歌王入圍次數紀錄保持人。
",已取得
鄭平,https://zh.wikipedia.org/wiki/%E9%83%91%E5%B9%B3,,待確認
青虫aoi,,,無條目
巴奈Panai,,,無條目
