藝人中文名,藝人英文名,類型,地區,入圍紀錄,得獎紀錄,來源網址
草東沒有派對,,團體,國內,第35屆金曲獎 年度專輯獎；第35屆金曲獎 年度歌曲獎；第35屆金曲獎 最佳華語專輯獎；第35屆金曲獎 最佳樂團獎,第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳華語專輯獎；第35屆金曲獎 最佳樂團獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219615
大象體操,Elephant Gym,團體,國內,第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳樂團獎；第35屆金曲獎 評審團獎；第15屆金音 最佳專輯獎；第15屆金音 最佳樂團獎；第15屆金音 最佳搖滾專輯獎；第15屆金音 最佳另類流行歌曲獎,第35屆金曲獎 評審團獎；第15屆金音 最佳樂團獎；第15屆金音 最佳另類流行歌曲獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219615；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=226493
蘇珮卿,,待確認,待確認,第35屆金曲獎 年度專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609
楊乃文,,女歌手,國內,第35屆金曲獎 年度歌曲獎；第35屆金曲獎 最佳華語專輯獎；第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳華語女歌手獎；第15屆金音 最佳搖滾歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
滅火器,,團體,國內,第35屆金曲獎 年度歌曲獎；第35屆金曲獎 最佳台語專輯獎；第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳樂團獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609
告五人,,團體,國內,第35屆金曲獎 年度歌曲獎；第35屆金曲獎 最佳華語專輯獎；第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳樂團獎；第37屆金曲獎 最佳樂團獎,第35屆金曲獎 年度歌曲獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219615
MC HotDog熱狗,,男歌手,國內,第35屆金曲獎 年度歌曲獎；第35屆金曲獎 最佳華語男歌手獎,第35屆金曲獎 最佳華語男歌手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219615
張惠妹,aMEI,女歌手,國內,第35屆金曲獎 年度歌曲獎；第37屆金曲獎 年度歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609
許鈞,,男歌手,國外,第35屆金曲獎 最佳華語專輯獎；第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳華語男歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609
傻子與白痴,,團體,國內,第35屆金曲獎 最佳華語專輯獎；第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳樂團獎；第15屆金音 最佳搖滾專輯獎；第15屆金音 最佳搖滾歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
裘德,,男歌手,國外,第35屆金曲獎 最佳華語專輯獎；第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳華語男歌手獎；第37屆金曲獎 最佳華語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳華語男歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609
