藝人中文名,藝人英文名,類型,地區,入圍紀錄,得獎紀錄,來源網址,網址識別碼,識別碼來源,識別碼依據網址,判斷依據
草東沒有派對,,團體,國內,第35屆金曲獎 年度專輯獎；第35屆金曲獎 年度歌曲獎；第35屆金曲獎 最佳華語專輯獎；第35屆金曲獎 最佳樂團獎,第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳華語專輯獎；第35屆金曲獎 最佳樂團獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219615,cao-dong-mei-you-pai-dui,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
大象體操,Elephant Gym,團體,國內,第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳樂團獎；第35屆金曲獎 評審團獎；第15屆金音 最佳專輯獎；第15屆金音 最佳樂團獎；第15屆金音 最佳搖滾專輯獎；第15屆金音 最佳另類流行歌曲獎,第35屆金曲獎 評審團獎；第15屆金音 最佳樂團獎；第15屆金音 最佳另類流行歌曲獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219615；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=226493,elephant-gym,官方英文名,https://zh.wikipedia.org/wiki/大象體操,英文名／藝名依原始名單欄位「Elephant Gym」
蘇珮卿,,女歌手,國內,第35屆金曲獎 年度專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609,su-pei-qing,音譯,,StreetVoice藝人頁 streetvoice.com/Paigesu/about（衛武營節目介紹亦稱其女歌手）；查無官方英文名或自用羅馬拼音，採漢語拼音音譯
楊乃文,,女歌手,國內,第35屆金曲獎 年度歌曲獎；第35屆金曲獎 最佳華語專輯獎；第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳華語女歌手獎；第15屆金音 最佳搖滾歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381,yang-nai-wen,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
滅火器,,團體,國內,第35屆金曲獎 年度歌曲獎；第35屆金曲獎 最佳台語專輯獎；第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳樂團獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609,mie-huo-qi,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
告五人,,團體,國內,第35屆金曲獎 年度歌曲獎；第35屆金曲獎 最佳華語專輯獎；第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳樂團獎；第37屆金曲獎 最佳樂團獎,第35屆金曲獎 年度歌曲獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219615,gao-wu-ren,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
MC HotDog熱狗,,男歌手,國內,第35屆金曲獎 年度歌曲獎；第35屆金曲獎 最佳華語男歌手獎,第35屆金曲獎 最佳華語男歌手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219615,mc-hotdog,藝人自用拼音,,藝名中英夾雜，取其自用羅馬字母部分作為識別碼
張惠妹,aMEI,女歌手,國內,第35屆金曲獎 年度歌曲獎；第37屆金曲獎 年度歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609,amei,官方英文名,https://zh.wikipedia.org/wiki/張惠妹,英文名／藝名依原始名單欄位「aMEI」
許鈞,,男歌手,國外,第35屆金曲獎 最佳華語專輯獎；第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳華語男歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609,xu-jun,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
傻子與白痴,,團體,國內,第35屆金曲獎 最佳華語專輯獎；第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳樂團獎；第15屆金音 最佳搖滾專輯獎；第15屆金音 最佳搖滾歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381,sha-zi-yu-bai-chi,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
裘德,,男歌手,國外,第35屆金曲獎 最佳華語專輯獎；第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳華語男歌手獎；第37屆金曲獎 最佳華語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳華語男歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609,qiu-de,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
