藝人網址識別碼,系列名稱,發行年,系列類型,品項,版本說明,發行公司,來源網址
soft-lipa,黃金年代EP,2008,EP發行,CD,,顏社企業有限公司,https://www.discogs.com/release/33258465
soft-lipa,收斂水,2009,專輯發行,CD,,顏社企業有限公司,https://www.discogs.com/release/15255345
soft-lipa,Winter Sweet,2009,專輯發行,CD,,顏社企業有限公司,https://www.discogs.com/release/20454841
soft-lipa,打包,2009,單曲發行,CD,,顏社企業有限公司,https://www.discogs.com/release/33259071
soft-lipa,Everybody Always Smiles at You,2010,單曲發行,CD,,顏社企業有限公司,https://www.discogs.com/release/33259089
soft-lipa,月光,2010,專輯發行,CD,與Jabberloop合作專輯,顏社企業有限公司,https://www.discogs.com/release/20519092
soft-lipa,踩．腳．踏．車,2011,專輯發行,CD,與Shin-Ski合作專輯,顏社企業有限公司,https://www.discogs.com/release/20470216
soft-lipa,月光下的六重奏：演唱會紀實,2012,演唱會巡迴,DVD,限量版(Ltd)，與Jabberloop合作,顏社企業有限公司／AsiaMuse Entertainment,https://www.discogs.com/release/31562848
soft-lipa,你所不知道的杜振熙之內部整修,2013,專輯發行,CD,,顏社企業有限公司,https://www.discogs.com/release/13811533
soft-lipa,收斂水（再版）,2015,專輯發行,CD,2015年4月再版,顏社企業有限公司,https://zh.wikipedia.org/zh-tw/顏社企業
gordon,BACK Again,2010,專輯發行,CD,Mixtape,顏社企業有限公司,https://www.discogs.com/release/33256971
gordon,Dr. Paper Vol.1,2011,專輯發行,CD,Mixtape,顏社企業有限公司,https://www.discogs.com/release/33257022
gordon,Dr. Paper Mixtape Vol.2 Blue Dream,2014,專輯發行,CD,Mixtape,顏社企業有限公司,https://www.discogs.com/release/33257061
gordon,GDN Express,2014,EP發行,其他周邊,USB隨身碟形式(M/Stick)發行的EP,顏社企業有限公司,https://www.discogs.com/release/33256920
gordon,GDN Express,2024,EP發行,黑膠,"2024年黑膠再版，限量不透明彩膠(Ltd, Opaque)",顏社企業有限公司,https://www.discogs.com/release/32830032
gordon,Dr. Paper Vol.3 Sunday Night Slow Jams,2016,專輯發行,CD,Mixtape,顏社企業有限公司,https://www.discogs.com/release/33257574
gordon,Later That Night,2018,EP發行,CD,,顏社企業有限公司,https://www.discogs.com/release/32718927
gordon,Earlier This Morning,2019,EP發行,CD,,顏社企業有限公司,https://www.discogs.com/release/32581518
gordon,Sour,2021,單曲發行,CD,,顏社企業有限公司,https://www.discogs.com/release/27326496
gordon,Pineapple Bun 菠蘿包,2022,EP發行,CD,Discogs列有兩個catno版本,顏社企業有限公司,https://www.discogs.com/release/30354128
gordon,GDNA,2023,專輯發行,CD,,顏社企業有限公司,https://www.discogs.com/release/32579034
gordon,GDNA,2024,專輯發行,黑膠,2024年黑膠版(LP),顏社企業有限公司,https://www.discogs.com/release/30915510
li-quan-zhe,愛情一陣風,2021,專輯發行,CD,,顏社企業有限公司,https://www.discogs.com/release/35131766
chen-xian-jing,如果每天都可以Happy Happy誰想要sad:))—一起去度假,2025,專輯發行,黑膠,,顏社企業有限公司,https://www.discogs.com/release/33524703
miss-ko,Knock Out 葛屁,2012,專輯發行,CD,限定版(Ltd),顏社企業有限公司,https://www.discogs.com/release/13536647
yeemao,健康歌曲,2024,專輯發行,黑膠,2024年黑膠版；與2017年《健康歌曲OwO》關係待確認（見README）,顏社企業有限公司,https://www.discogs.com/release/35711953
mj116,How We Roll,2008,專輯發行,CD,,滾石唱片（經紀：本色）,https://www.discogs.com/release/15630486
mj116,Fresh Game,2014,專輯發行,CD,,滾石唱片（經紀：本色）,https://www.discogs.com/release/15630511
mj116,Fresh Game,2014,專輯發行,黑膠,2xLP,滾石唱片（經紀：本色）,https://www.discogs.com/release/36700450
