藝人中文名,藝人英文名,廠牌,在籍狀態,類型,地區,網址識別碼,識別碼來源,維基條目網址,簡介,來源網址
國蛋,GorDoN,顏社,現任,男歌手,國內,gordon,官方英文名,https://zh.wikipedia.org/zh-tw/國蛋,楊國雋（1986年8月19日—），藝名國蛋（GorDoN），臺灣饒舌歌手，臺南出身。高中畢業於台南一中，為饒舌歌手蛋堡的學弟，大學畢業於國立台灣大學化學系，2011年赴紐約攻讀碩士。為饒舌廠牌顏社旗下藝人。,https://zh.wikipedia.org/zh-tw/國蛋；https://zh.wikipedia.org/zh-tw/顏社企業
李權哲,,顏社,現任,男歌手,國內,li-quan-zhe,音譯,https://zh.wikipedia.org/zh-tw/李權哲_(台灣歌手),李權哲，台灣創作男歌手、音樂製作人，也是露波合唱團的樂手（目前暫待鼓手）。2017年發行首張個人專輯《醒著不醉》，入圍第29屆金曲獎最佳新人獎。2022年以專輯《愛情一陣風》獲得第33屆金曲獎最佳專輯製作人獎；同年亦獲得第13屆金音創作獎最佳專輯獎。,https://zh.wikipedia.org/zh-tw/李權哲_(台灣歌手)；https://zh.wikipedia.org/zh-tw/顏社企業
春艷,Chunyan,顏社,現任,男歌手,國內,chunyan,官方英文名,https://zh.wikipedia.org/zh-tw/春艷,余承恩（1992年12月26日—），藝名春艷，是出身臺灣臺北的饒舌創作歌手。,https://zh.wikipedia.org/zh-tw/春艷；https://zh.wikipedia.org/zh-tw/夜貓組；https://zh.wikipedia.org/zh-tw/顏社企業
萬志軒,,顏社,現任,男歌手,國內,wan-zhi-xuan,音譯,,查無獨立維基條目，僅見於顏社企業條目「旗下藝人」表格,https://zh.wikipedia.org/zh-tw/顏社企業
DJ MR.GIN,,顏社,現任,男歌手,國內,dj-mr-gin,藝人自用拼音,,查無獨立維基條目，僅見於顏社企業條目「旗下藝人」表格及2023年第34屆金曲獎提名紀錄（《格》最佳台語專輯獎）,https://zh.wikipedia.org/zh-tw/顏社企業
趙翊帆,,顏社,現任,男歌手,國內,zhao-yi-fan,音譯,,查無獨立維基條目，僅見於顏社企業條目「旗下藝人」表格,https://zh.wikipedia.org/zh-tw/顏社企業
陳嫺靜,,顏社,現任,女歌手,國內,chen-xian-jing,沿用v2名單（音譯）,https://zh.wikipedia.org/zh-tw/陳嫺靜,陳嫺靜（1998年12月8日—），是出身臺灣臺北的饒舌音樂創作歌手。,https://zh.wikipedia.org/zh-tw/陳嫺靜；https://zh.wikipedia.org/zh-tw/顏社企業
方品融,,顏社,現任,女歌手,國內,fang-pin-rong,音譯,,查無獨立維基條目，僅見於顏社企業條目「旗下藝人」表格,https://zh.wikipedia.org/zh-tw/顏社企業
夜貓組,Yeemao,顏社,現任,團體,國內,yeemao,官方英文名,https://zh.wikipedia.org/zh-tw/夜貓組,夜貓組，成立於2016年，成員包含Leo王、春艷，為顏社旗下饒舌演唱組合。,https://zh.wikipedia.org/zh-tw/夜貓組；https://zh.wikipedia.org/zh-tw/顏社企業
蛋堡,Soft Lipa,顏社,前藝人,男歌手,國內,soft-lipa,官方英文名（藝人自用，正式藝名原為Soft Lipa，後改用Soft Lipapa）,https://zh.wikipedia.org/zh-tw/蛋堡_(音樂人),杜振熙（1982年12月7日—），藝名蛋堡、軟嘴唇，臺灣臺南人，饒舌歌手。國立臺南第一高級中學、國立雲林科技大學視覺傳達設計學系畢業。2021年，杜振熙以《家常音樂》奪下第32屆金曲獎最佳華語男歌手獎和最佳華語專輯獎。,https://zh.wikipedia.org/zh-tw/蛋堡_(音樂人)；https://zh.wikipedia.org/zh-tw/顏社企業
